0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Corpus,Model,method,Dim. size,Similarity,,,,,,,,,,,,,,,,,,,,,,,,Concreteness,,
,,,,usf,,ws353,,men,,vis_sim,,sem_sim,,simlex,,simlex-q1,,simlex-q2,,simlex-q3,,simlex-q4,,mturk771,,rw,,mean,std,words_with_embedding
,,,,used_pairs,all_entities,used_pairs,all_entities,used_pairs,all_entities,used_pairs,all_entities,used_pairs,all_entities,used_pairs,all_entities,used_pairs,all_entities,used_pairs,all_entities,used_pairs,all_entities,used_pairs,all_entities,used_pairs,all_entities,used_pairs,all_entities,,,
ade,fasttext,cbow,20,235,0.0967223290341284,101,-0.16238223559601436,309,0.08290653022112403,201,0.1703592841843336,79,-0.042321666613782234,113,-0.062213274268419806,412,0.07072260308594573,61,-0.22382356599617004,91,0.1747017696739935,75,0.016147504430445315,82,0.05735434247030548,113,-0.061703038395918036,0.06454700322563503,0.06335041964497132,1285
ade,fasttext,cbow,50,235,0.09846813933256467,101,-0.16254532260045096,309,0.06413034406475017,201,0.1687188054369992,79,-0.03814670784227596,113,-0.050766724745869615,412,0.0716238849457052,61,-0.16585791657939253,91,0.16269291432398977,75,0.002020216413324436,82,-0.007804718836820844,113,-0.06440483952113894,0.08524046298289434,0.05592615322112708,1285
ade,fasttext,cbow,100,235,0.10433898127365149,101,-0.16004077217517437,309,0.07493004742965986,201,0.15115829329661418,79,-0.03515242254259508,113,-0.09982707775057965,412,0.06392003212691179,61,-0.1750869364910966,91,0.19849650427996915,75,-0.033916872742010246,82,0.048025689690451276,113,-0.0796483347584964,0.08519558256664188,0.05737084138830698,1285
ade,fasttext,skip-gram,20,235,0.14454070189590545,101,0.09772406287276907,309,0.04203572467851677,201,0.23169619338365438,79,0.009238465619747114,113,0.10412332335268704,412,0.0682041464045895,61,-0.16643968860821054,91,0.12168123988597962,75,-0.07580079612811685,82,0.08388167832153615,113,0.06676355478918894,0.15734204016316128,0.05226728700752716,1285
ade,fasttext,skip-gram,50,235,0.12308563650953487,101,0.1081849293002034,309,0.01552750978119605,201,0.19946817554244026,79,0.053300712712612136,113,0.027405889284410765,412,0.09473286855628095,61,-0.1803228847504588,91,0.08926210850012734,75,-0.059866694839924135,82,0.020377173866846055,113,-0.03423710949684694,0.1703482847861883,0.043956155465289144,1285
ade,fasttext,skip-gram,100,235,0.10809922363519339,101,0.10918674947031404,309,0.013479139401154052,201,0.20080346612641922,79,0.10226823206471049,113,0.044534570087167484,412,0.0888763817740043,61,-0.20124023360477952,91,0.08043066249007816,75,-0.04758890072232562,82,0.035562087084928445,113,-4.288573214636361e-05,0.1512216567786315,0.048689216180835625,1285
ade,glove,,20,235,0.12606914123829793,101,0.08493338209624021,309,-0.0014317441893859882,201,-0.03587993044000988,79,0.163383299096002,113,0.09959320954240042,412,0.12453482052281352,61,-0.04162314424361668,91,0.06645483945343586,75,-0.033105940801450434,82,0.010634881873882795,113,0.0214476311545314,0.08560853033158275,0.040450296072668486,1285
ade,glove,,50,235,0.08733674930471728,101,0.08675063728853394,309,-0.00040410166254402824,201,-0.031028694865122337,79,0.1610097802608891,113,0.1509792519506706,412,0.14155206227277717,61,-0.026179741296811006,91,0.08614840661561045,75,-0.02539497392805717,82,-0.022575992841794183,113,0.0764700254983159,0.07739212639576143,0.03706213016666798,1285
ade,glove,,100,235,0.07988977725045003,101,0.08678558450377036,309,0.004901893493859443,201,-0.03000524303401506,79,0.15935440302204112,113,0.13191899298406318,412,0.14607589469485138,61,-0.013301424113430235,91,0.08238170331285727,75,0.003556719037543021,82,-0.039469889124563985,113,0.04693605129352017,0.057212182469378356,0.03627667701801857,1285
ade,word2vec,cbow,20,235,0.08411976094229155,101,0.05185001833909823,309,0.10728787285529152,201,-0.10819548502182941,79,0.16766780489066732,113,-0.18074114688784992,412,0.08050238242049974,61,0.09705015208009735,91,0.11217290216190505,75,0.20113957501113292,82,0.052760770156304926,113,-0.10121985802811731,0.11787334368354244,0.051677500311560265,1285
ade,word2vec,cbow,50,235,0.13020665616433244,101,0.007956316002157739,309,0.07697089301779741,201,-0.02124419977798052,79,0.22043295437894633,113,-0.07563471088226131,412,0.14022927815482525,61,-0.07787811931223071,91,0.23227738252580193,75,0.13186891503594506,82,-0.015522355734039782,113,0.05402172726036936,0.10021264992320414,0.05009593076928769,1285
ade,word2vec,cbow,100,235,0.06613551068048693,101,0.015493265421478468,309,0.10916602024008978,201,-0.07808087673799205,79,0.1772470834713537,113,-0.06631029880430044,412,0.09158117146341099,61,0.038211844620092826,91,0.14848615176138585,75,0.20463938654407526,82,0.11058317805197063,113,0.05782426217734693,0.08426462712596175,0.04748002363865284,1285
